source,target,messageid,messagedt,weekday,,time,recepttype,subject
1490,3441,173241,12/31/1979,周一,53 ,1,to,Further information regarding Gov Thompson
1490,3536,173241,12/31/1979,周一,53 ,1,cc,Further information regarding Gov Thompson
1490,28730,173241,12/31/1979,周一,53 ,1,cc,Further information regarding Gov Thompson
1490,4130,173241,12/31/1979,周一,53 ,1,cc,Further information regarding Gov Thompson
1490,1452,173241,12/31/1979,周一,53 ,1,cc,Further information regarding Gov Thompson
1490,782,173241,12/31/1979,周一,53 ,1,cc,Further information regarding Gov Thompson
1490,2170,173245,12/31/1979,周一,53 ,1,to,Re: Trains - Light rail
1490,48750,174295,12/31/1979,周一,53 ,1,to,Re:
1490,4894,176720,12/31/1979,周一,53 ,1,to,Re: Job Titles and Job Banding
9244,41214,233684,12/31/1979,周一,53 ,1,to,"Re: SCE Counter Claim -- Underreporting of Volumes -- Confidential --	 Attorney Work Product"
9244,34227,233684,12/31/1979,周一,53 ,1,cc,"Re: SCE Counter Claim -- Underreporting of Volumes -- Confidential --	 Attorney Work Product"
9244,29416,233684,12/31/1979,周一,53 ,1,cc,"Re: SCE Counter Claim -- Underreporting of Volumes -- Confidential --	 Attorney Work Product"
9244,41524,233684,12/31/1979,周一,53 ,1,cc,"Re: SCE Counter Claim -- Underreporting of Volumes -- Confidential --	 Attorney Work Product"
9244,48735,233684,12/31/1979,周一,53 ,1,cc,"Re: SCE Counter Claim -- Underreporting of Volumes -- Confidential --	 Attorney Work Product"
9244,80872,233684,12/31/1979,周一,53 ,1,cc,"Re: SCE Counter Claim -- Underreporting of Volumes -- Confidential --	 Attorney Work Product"
9244,28525,233684,12/31/1979,周一,53 ,1,cc,"Re: SCE Counter Claim -- Underreporting of Volumes -- Confidential --	 Attorney Work Product"
1490,2157,173249,9/6/1999,周一,37 ,2,to,Monthly Billing - Detail Class 845 / s100061.xls
1490,2217,173255,9/10/1999,周五,37 ,2,to,Commission Meetings
1490,1463,173255,9/10/1999,周五,37 ,2,to,Commission Meetings
1490,15283,173258,9/10/1999,周五,37 ,2,to,Speech to the British Institute of Energy Economists
1490,9924,173259,9/21/1999,周二,39 ,3,to,Ross Perot's EMS company
1490,1416,173259,9/21/1999,周二,39 ,3,cc,Ross Perot's EMS company
1490,181,113953,10/6/1999,周三,41 ,4,to,Madera Ranch Press Release
1490,801,113953,10/6/1999,周三,41 ,4,to,Madera Ranch Press Release
1490,253,113953,10/6/1999,周三,41 ,4,to,Madera Ranch Press Release
1490,28654,113953,10/6/1999,周三,41 ,4,to,Madera Ranch Press Release
1490,8546,113953,10/6/1999,周三,41 ,4,to,Madera Ranch Press Release
1490,817,113953,10/6/1999,周三,41 ,4,cc,Madera Ranch Press Release
1490,5416,10425,10/18/1999,周一,43 ,5,to,Translation of articles
1490,3441,10425,10/18/1999,周一,43 ,5,to,Translation of articles
1490,4128,10425,10/18/1999,周一,43 ,5,to,Translation of articles
1490,4058,10425,10/18/1999,周一,43 ,5,to,Translation of articles
1490,3538,10425,10/18/1999,周一,43 ,5,to,Translation of articles
1490,4132,10425,10/18/1999,周一,43 ,5,to,Translation of articles
1489,2258,114087,11/22/1999,周一,48 ,6,to,
1489,15283,114087,11/22/1999,周一,48 ,6,to,
1489,817,114087,11/22/1999,周一,48 ,6,to,
1489,801,114087,11/22/1999,周一,48 ,6,to,
1489,253,114087,11/22/1999,周一,48 ,6,to,
1490,9311,173307,12/6/1999,周一,50 ,7,to,Nepal
1490,2220,173307,12/6/1999,周一,50 ,7,cc,Nepal
1490,9482,176714,12/6/1999,周一,50 ,7,to,Re: Security Assessment Report
1490,3450,176714,12/6/1999,周一,50 ,7,cc,Re: Security Assessment Report
17563,1699,140836,12/7/1999,周二,50 ,7,to,Privileged and Confidential - Catalytica
17563,3163,140836,12/7/1999,周二,50 ,7,to,Privileged and Confidential - Catalytica
17563,56853,140836,12/7/1999,周二,50 ,7,to,Privileged and Confidential - Catalytica
17563,19118,140836,12/7/1999,周二,50 ,7,to,Privileged and Confidential - Catalytica
17563,20200,140836,12/7/1999,周二,50 ,7,to,Privileged and Confidential - Catalytica
17563,154,140836,12/7/1999,周二,50 ,7,to,Privileged and Confidential - Catalytica
17563,3113,140836,12/7/1999,周二,50 ,7,to,Privileged and Confidential - Catalytica
17563,44409,140836,12/7/1999,周二,50 ,7,to,Privileged and Confidential - Catalytica
17563,56895,140836,12/7/1999,周二,50 ,7,to,Privileged and Confidential - Catalytica
1490,1463,173319,12/13/1999,周一,51 ,8,to,West Virginia Settlement
1490,3536,173335,12/15/1999,周三,51 ,8,to,Governor Ridge might call Ken Lay today
1490,8312,173339,12/17/1999,周五,51 ,8,to,Black Mesa Pipeline Co
1490,1180,173354,12/29/1999,周三,53 ,9,to,Re: Joe Hirko Fortune interview
29413,9244,234238,1/26/2000,周三,5 ,10,to,The Dutch power market situation: STRICTLY PRIVATE & CONFIDENTIAL - ATTORNEY - CLIENT PRIVILEDGE
29413,2383,234238,1/26/2000,周三,5 ,10,cc,The Dutch power market situation: STRICTLY PRIVATE & CONFIDENTIAL - ATTORNEY - CLIENT PRIVILEDGE
29413,15296,234238,1/26/2000,周三,5 ,10,cc,The Dutch power market situation: STRICTLY PRIVATE & CONFIDENTIAL - ATTORNEY - CLIENT PRIVILEDGE
17095,206,234264,2/1/2000,周二,6 ,11,to,Confidential (Clien/Attorney Priveledge)
17095,9244,234264,2/1/2000,周二,6 ,11,to,Confidential (Clien/Attorney Priveledge)
242,222,230797,2/8/2000,周二,7 ,12,to,Confidential re: McConville--Indemnity
242,4135,230797,2/8/2000,周二,7 ,12,cc,Confidential re: McConville--Indemnity
