source,target,messageid,messagedt,weekday,,time,recepttype,subject
17533,17533,228852,37186.60226,37186.60226,43,84,to,Return of Confidential Materials
17533,21512,228852,37186.60226,37186.60226,43,84,to,Return of Confidential Materials
17533,1881,228852,37186.60226,37186.60226,43,84,to,Return of Confidential Materials
17533,21510,228852,37186.60226,37186.60226,43,84,to,Return of Confidential Materials
17533,5575,228852,37186.60226,37186.60226,43,84,to,Return of Confidential Materials
17533,11387,228852,37186.60226,37186.60226,43,84,to,Return of Confidential Materials
17533,1698,228852,37186.60226,37186.60226,43,84,to,Return of Confidential Materials
17533,7089,228852,37186.60226,37186.60226,43,84,to,Return of Confidential Materials
17533,1568,228852,37186.60226,37186.60226,43,84,to,Return of Confidential Materials
17533,11303,228852,37186.60226,37186.60226,43,84,to,Return of Confidential Materials
17533,242,228852,37186.60226,37186.60226,43,84,to,Return of Confidential Materials
17533,255,228852,37186.60226,37186.60226,43,84,to,Return of Confidential Materials
17533,19979,228852,37186.60226,37186.60226,43,84,cc,Return of Confidential Materials
242,17533,229024,37186.62057,37186.62057,43,84,to,Re: Return of Confidential Materials
1482,817,136412,37187.46045,37187.46045,43,84,to,DRAFT Comments on Barton RTO Draft
1482,818,136412,37187.46045,37187.46045,43,84,to,DRAFT Comments on Barton RTO Draft
1482,347,136412,37187.46045,37187.46045,43,84,to,DRAFT Comments on Barton RTO Draft
1482,813,136412,37187.46045,37187.46045,43,84,to,DRAFT Comments on Barton RTO Draft
1482,812,136412,37187.46045,37187.46045,43,84,to,DRAFT Comments on Barton RTO Draft
1482,2209,136412,37187.46045,37187.46045,43,84,to,DRAFT Comments on Barton RTO Draft
1482,2326,136412,37187.46045,37187.46045,43,84,to,DRAFT Comments on Barton RTO Draft
1482,2310,136412,37187.46045,37187.46045,43,84,to,DRAFT Comments on Barton RTO Draft
1482,33830,136412,37187.46045,37187.46045,43,84,to,DRAFT Comments on Barton RTO Draft
1482,2228,136412,37187.46045,37187.46045,43,84,to,DRAFT Comments on Barton RTO Draft
1482,2239,136412,37187.46045,37187.46045,43,84,to,DRAFT Comments on Barton RTO Draft
1482,803,136412,37187.46045,37187.46045,43,84,to,DRAFT Comments on Barton RTO Draft
1482,812,219435,37187.58818,37187.58818,43,84,to,Southeast RTO: Southern's Load
1482,813,219435,37187.58818,37187.58818,43,84,to,Southeast RTO: Southern's Load
1482,347,219435,37187.58818,37187.58818,43,84,to,Southeast RTO: Southern's Load
1482,2038,137283,37187.59528,37187.59528,43,84,to,RE: RTO Week -- Summary of Standards and Practices Panel
1482,2037,137283,37187.59528,37187.59528,43,84,cc,RE: RTO Week -- Summary of Standards and Practices Panel
1482,818,137283,37187.59528,37187.59528,43,84,cc,RE: RTO Week -- Summary of Standards and Practices Panel
1482,2209,137283,37187.59528,37187.59528,43,84,cc,RE: RTO Week -- Summary of Standards and Practices Panel
1482,2310,137283,37187.59528,37187.59528,43,84,cc,RE: RTO Week -- Summary of Standards and Practices Panel
1482,813,137283,37187.59528,37187.59528,43,84,cc,RE: RTO Week -- Summary of Standards and Practices Panel
1482,817,137283,37187.59528,37187.59528,43,84,cc,RE: RTO Week -- Summary of Standards and Practices Panel
1482,2326,137283,37187.59528,37187.59528,43,84,cc,RE: RTO Week -- Summary of Standards and Practices Panel
1482,347,137283,37187.59528,37187.59528,43,84,cc,RE: RTO Week -- Summary of Standards and Practices Panel
1482,347,219452,37187.61894,37187.61894,43,84,to,RE: DRAFT Comments on Barton RTO Draft
1482,818,219452,37187.61894,37187.61894,43,84,cc,RE: DRAFT Comments on Barton RTO Draft
242,222,229279,37187.63131,37187.63131,43,84,to,Privileged and Confidential -- Performance Bonus Language
1482,817,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
1482,818,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
1482,347,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
1482,812,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
1482,813,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
1482,2239,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
1482,2209,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
1482,2037,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
1482,2228,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
1482,181,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
1482,36,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
1482,66,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
1482,1516,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
1482,2039,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
1482,2310,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
1482,33830,137284,37188.59141,37188.59141,43,84,to,Report On EPSA Legislative Affairs Committee Meeting
242,24980,228996,37190.38817,37190.38817,43,84,to,RE: CONFIDENTIAL Personnel issue
24980,242,228911,37190.3909,37190.3909,43,84,to,RE: CONFIDENTIAL Personnel issue
1482,1516,219530,37190.39235,37190.39235,43,84,to,RE: Enron Support of a Standards Setting Organization
1482,813,219530,37190.39235,37190.39235,43,84,to,RE: Enron Support of a Standards Setting Organization
1482,347,219530,37190.39235,37190.39235,43,84,cc,RE: Enron Support of a Standards Setting Organization
1482,2309,219530,37190.39235,37190.39235,43,84,cc,RE: Enron Support of a Standards Setting Organization
1482,966,219530,37190.39235,37190.39235,43,84,cc,RE: Enron Support of a Standards Setting Organization
